title,link,keyword
KOST UMA MESARI,https://www.google.com/maps/place/KOST+UMA+MESARI/data=!4m7!3m6!1s0x2dd1638eaa787897:0x202624e38d456f37!8m2!3d-8.3630782!4d114.6388063!16s%2Fg%2F11ht6_y3m3!19sChIJl3h4qo5j0S0RN29FjeMkJiA?authuser=0&hl=en&rclk=1,
Bombora Medewi Wave Lodge,https://www.google.com/maps/place/Bombora+Medewi+Wave+Lodge/data=!4m10!3m9!1s0x2dd3d6a13bbb6413:0xe3353ee17faeaa01!5m2!4m1!1i2!8m2!3d-8.4192622!4d114.8053477!16s%2Fg%2F11c5_cjg7m!19sChIJE2S7O6HW0y0RAaquf-E-NeM?authuser=0&hl=en&rclk=1,
North Bali Hotels,https://www.google.com/maps/place/North+Bali+Hotels/data=!4m7!3m6!1s0x2dd16ef65eb09135:0xfc86e7d5de88494a!8m2!3d-8.1450747!4d114.6557711!16s%2Fg%2F11b6r_sy4z!19sChIJNZGwXvZu0S0RSkmI3tXnhvw?authuser=0&hl=en&rclk=1,
Medewi Surf Villa,https://www.google.com/maps/place/Medewi+Surf+Villa/data=!4m10!3m9!1s0x2dd3d420c4733393:0x50e621d0c02bfb3d!5m2!4m1!1i2!8m2!3d-8.4107285!4d114.811246!16s%2Fg%2F11c0rmg9lp!19sChIJkzNzxCDU0y0RPfsrwNAh5lA?authuser=0&hl=en&rclk=1,
Villa Impian Melaya Bali,"https://www.google.com/maps/place/Villa+Impian,+Melaya,+Bali/data=!4m10!3m9!1s0x2dd15d041096b3b3:0x459acadd6b10377c!5m2!4m1!1i2!8m2!3d-8.2592311!4d114.4765704!16s%2Fg%2F11j0try9v9!19sChIJs7OWEARd0S0RfDcQa93KmkU?authuser=0&hl=en&rclk=1",
Suara Glamping,https://www.google.com/maps/place/Suara+Glamping/data=!4m7!3m6!1s0x2dd15d4d85dbf7af:0x4c9eb59a1067aac5!8m2!3d-8.2541854!4d114.4724016!16s%2Fg%2F11f7dt6134!19sChIJr_fbhU1d0S0RxapnEJq1nkw?authuser=0&hl=en&rclk=1,
WIDE SANDS Beach Retreat,https://www.google.com/maps/place/WIDE+SANDS+Beach+Retreat/data=!4m10!3m9!1s0x2dd3d713edd0a907:0xf9331f10a65efabf!5m2!4m1!1i2!8m2!3d-8.4100217!4d114.792839!16s%2Fg%2F11fpq8qp5t!19sChIJB6nQ7RPX0y0Rv_pephAfM_k?authuser=0&hl=en&rclk=1,
Candikusuma Beach Villas,https://www.google.com/maps/place/Candikusuma+Beach+Villas/data=!4m7!3m6!1s0x2dd15e1ec1a2aca1:0x9acb5313e94804c3!8m2!3d-8.3092097!4d114.519671!16s%2Fg%2F11cs5tvmdq!19sChIJoayiwR5e0S0RwwRI6RNTy5o?authuser=0&hl=en&rclk=1,
Villa Semadhi,https://www.google.com/maps/place/Villa+Semadhi/data=!4m10!3m9!1s0x2dd16e5bc3024ddd:0x7de440ffe2892e7!5m2!4m1!1i2!8m2!3d-8.148186!4d114.674021!16s%2Fg%2F11cncnkc55!19sChIJ3U0Cw1tu0S0R55Io_g9E3gc?authuser=0&hl=en&rclk=1,
Pink Barrel Bali  Surf And Stay Medewi,https://www.google.com/maps/place/Pink+Barrel+Bali+-+Surf+And+Stay+Medewi/data=!4m10!3m9!1s0x2dd3d420470bbc01:0x1676b4a0680e0f45!5m2!4m1!1i2!8m2!3d-8.4131493!4d114.8112618!16s%2Fg%2F11cly7r9pr!19sChIJAbwLRyDU0y0RRQ8OaKC0dhY?authuser=0&hl=en&rclk=1,
Bali Court Hotel  Apartment,https://www.google.com/maps/place/Bali+Court+Hotel+%26+Apartment/data=!4m10!3m9!1s0x2dd246ddb7f3814b:0x3426205277f75d6b!5m2!4m1!1i2!8m2!3d-8.7003231!4d115.1672784!16s%2Fg%2F1tgv9r1f!19sChIJS4Hzt91G0i0Ra133d1IgJjQ?authuser=0&hl=en&rclk=1,
Bukit Catu Bungalows,https://www.google.com/maps/place/Bukit+Catu+Bungalows/data=!4m10!3m9!1s0x2dd1f157d0ad4723:0x66631185b0d76131!5m2!4m1!1i2!8m2!3d-8.2308473!4d115.3964451!16s%2Fg%2F11h033mlhq!19sChIJI0et0Ffx0S0RMWHXsIURY2Y?authuser=0&hl=en&rclk=1,
Grandmas Plus Hotel Legian,https://www.google.com/maps/place/Grandmas+Plus+Hotel+Legian/data=!4m10!3m9!1s0x2dd246c6a6f6309d:0xc16a02935bcf6296!5m2!4m1!1i2!8m2!3d-8.7084857!4d115.1720337!16s%2Fg%2F12hk_ytx4!19sChIJnTD2psZG0i0RlmLPW5MCasE?authuser=0&hl=en&rclk=1,
Amnaya Resort Nusa Dua,https://www.google.com/maps/place/Amnaya+Resort+Nusa+Dua/data=!4m10!3m9!1s0x2dd2439fff612a63:0xdaf1f32e7da02729!5m2!4m1!1i2!8m2!3d-8.7704486!4d115.2220281!16s%2Fg%2F11gxs27h0b!19sChIJYyph_59D0i0RKSegfS7z8do?authuser=0&hl=en&rclk=1,
Radisson Blu Bali Uluwatu,https://www.google.com/maps/place/Radisson+Blu+Bali+Uluwatu/data=!4m10!3m9!1s0x2dd25ac456fe003f:0xaf85b08d7745dfc1!5m2!4m1!1i2!8m2!3d-8.8090744!4d115.1104224!16s%2Fg%2F11fy10v_fb!19sChIJPwD-VsRa0i0Rwd9Fd42wha8?authuser=0&hl=en&rclk=1,
Bj Medewi Surf Camp,https://www.google.com/maps/place/Bj+Medewi+Surf+Camp/data=!4m7!3m6!1s0x2dd3d59f091b0afb:0x7944e4cb11a750af!8m2!3d-8.4114284!4d114.8064435!16s%2Fg%2F11fkf3t5q4!19sChIJ-wobCZ_V0y0Rr1CnEcvkRHk?authuser=0&hl=en&rclk=1,
